SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-10-07T20:00:13.378212
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 7
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

System Health Summary:
*   Service healthy, but on starter plan.
*   No web or background errors reported.
*   Recent deployments indicate ongoing development.

Performance Analysis:
*   Limited API activity (7 requests).
*   Weather processing: 0% success, zero duration indicates critical issue.

Notable Patterns:
*   Single unique device requesting data.
*   "No lamps found" warning in Netanya background processing.

Issues & Recommendations:
*   **CRITICAL**: Weather processing failing; investigate immediately.
*   Low Arduino requests. Verify device connectivity/usage.
*   Netanya lamp issue requires geographic data review.

Optimization Opportunities:
*   Starter plan limits scalability.
*   Increase lamp deployment locations.

Trends & Predictions:
*   Continued processing failures if not addressed.
*   Limited data prevents accurate trend analysis.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-10-07T20:00:13.378212",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 15:36:15 |",
    "LOG: 15:36:15 | Successfully installed Flask-2.3.3 Flask-Bcrypt-1.0.1 Flask-Limiter-3.5.0 Flask-Mail-0.9.1 Flask-WTF-1.1.1 Jinja2-3.1.6 MarkupSafe-3.0.3 SQLAlchemy-2.0.21 WTForms-3.0.1 Werkzeug-2.3.8 bcrypt-5.0.0 bleach-6.0.0 blinker-1.9.0 click-8.3.0 deprecated-1.2.18 dnspython-2.8.0 email-validator-2.0.0 greenlet-3.2.4 gunicorn-23.0.0 idna-3.10 itsdangerous-2.2.0 limits-5.6.0 markdown-it-py-4.0.0 mdurl-0.1.2 ordered-set-4.1.0 packaging-25.0 psycopg2-binary-2.9.7 pygments-2.19.2 pytz-2024.1 redis-5.0.0 rich-13.9.4 six-1.17.0 typing-extensions-4.15.0 webencodings-0.5.1 wrapt-1.17.3",
    "LOG: 15:36:11 | Installing collected packages: webencodings, pytz, wrapt, typing-extensions, six, redis, pygments, psycopg2-binary, packaging, ordered-set, mdurl, MarkupSafe, itsdangerous, idna, greenlet, dnspython, click, blinker, bcrypt, WTForms, Werkzeug, SQLAlchemy, markdown-it-py, Jinja2, gunicorn, email-validator, deprecated, bleach, rich, limits, Flask, Flask-WTF, Flask-Mail, Flask-Limiter, Flask-Bcrypt",
    "LOG: 15:36:10 |   Using cached mdurl-0.1.2-py3-none-any.whl (10.0 kB)",
    "LOG: 15:36:10 | Collecting mdurl~=0.1 (from markdown-it-py>=2.2.0->rich<14,>=12->Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:10 |   Using cached wrapt-1.17.3-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl (82 kB)",
    "LOG: 15:36:10 | Collecting wrapt<2,>=1.10 (from deprecated>=1.2->limits>=2.8->Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:10 |   Using cached pygments-2.19.2-py3-none-any.whl (1.2 MB)",
    "LOG: 15:36:10 | Collecting pygments<3.0.0,>=2.13.0 (from rich<14,>=12->Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:10 |   Using cached markdown_it_py-4.0.0-py3-none-any.whl (87 kB)",
    "LOG: 15:36:10 | Collecting markdown-it-py>=2.2.0 (from rich<14,>=12->Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:10 |   Using cached Deprecated-1.2.18-py2.py3-none-any.whl (10.0 kB)",
    "LOG: 15:36:10 | Collecting deprecated>=1.2 (from limits>=2.8->Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:10 |   Using cached packaging-25.0-py3-none-any.whl (66 kB)",
    "LOG: 15:36:10 | Collecting packaging (from gunicorn->-r web_and_database/requirements.txt (line 12))",
    "LOG: 15:36:10 |   Using cached webencodings-0.5.1-py2.py3-none-any.whl (11 kB)",
    "LOG: 15:36:10 | Collecting webencodings (from bleach==6.0.0->-r web_and_database/requirements.txt (line 10))",
    "LOG: 15:36:10 |   Using cached six-1.17.0-py2.py3-none-any.whl (11 kB)",
    "LOG: 15:36:10 | Collecting six>=1.9.0 (from bleach==6.0.0->-r web_and_database/requirements.txt (line 10))",
    "LOG: 15:36:10 |   Using cached idna-3.10-py3-none-any.whl (70 kB)",
    "LOG: 15:36:10 | Collecting idna>=2.0.0 (from email-validator==2.0.0->-r web_and_database/requirements.txt (line 9))",
    "LOG: 15:36:10 |   Using cached dnspython-2.8.0-py3-none-any.whl (331 kB)",
    "LOG: 15:36:10 | Collecting dnspython>=2.0.0 (from email-validator==2.0.0->-r web_and_database/requirements.txt (line 9))",
    "LOG: 15:36:10 |   Using cached greenlet-3.2.4-cp311-cp311-manylinux_2_24_x86_64.manylinux_2_28_x86_64.whl (587 kB)",
    "LOG: 15:36:10 | Collecting greenlet!=0.4.17 (from SQLAlchemy==2.0.21->-r web_and_database/requirements.txt (line 7))",
    "LOG: 15:36:09 |   Using cached typing_extensions-4.15.0-py3-none-any.whl (44 kB)",
    "LOG: 15:36:09 | Collecting typing-extensions>=4 (from Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:09 |   Using cached rich-13.9.4-py3-none-any.whl (242 kB)",
    "LOG: 15:36:09 | Collecting rich<14,>=12 (from Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:09 |   Using cached ordered_set-4.1.0-py3-none-any.whl (7.6 kB)",
    "LOG: 15:36:09 | Collecting ordered-set<5,>4 (from Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:09 |   Using cached limits-5.6.0-py3-none-any.whl (60 kB)",
    "LOG: 15:36:09 | Collecting limits>=2.8 (from Flask-Limiter==3.5.0->-r web_and_database/requirements.txt (line 5))",
    "LOG: 15:36:09 |   Using cached bcrypt-5.0.0-cp39-abi3-manylinux_2_34_x86_64.whl (278 kB)",
    "LOG: 15:36:09 | Collecting bcrypt>=3.1.1 (from Flask-Bcrypt==1.0.1->-r web_and_database/requirements.txt (line 3))",
    "LOG: 15:36:09 |   Using cached markupsafe-3.0.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl (22 kB)",
    "LOG: 15:36:09 | Collecting MarkupSafe>=2.1.1 (from Werkzeug==2.3.8->-r web_and_database/requirements.txt (line 2))",
    "LOG: 15:36:09 |   Using cached blinker-1.9.0-py3-none-any.whl (8.5 kB)",
    "LOG: 15:36:09 | Collecting blinker>=1.6.2 (from Flask==2.3.3->-r web_and_database/requirements.txt (line 1))",
    "LOG: 15:36:09 |   Using cached click-8.3.0-py3-none-any.whl (107 kB)",
    "LOG: 15:36:09 | Collecting click>=8.1.3 (from Flask==2.3.3->-r web_and_database/requirements.txt (line 1))",
    "LOG: 15:36:09 |   Using cached itsdangerous-2.2.0-py3-none-any.whl (16 kB)",
    "LOG: 15:36:09 | Collecting itsdangerous>=2.1.2 (from Flask==2.3.3->-r web_and_database/requirements.txt (line 1))",
    "LOG: 15:36:09 |   Using cached jinja2-3.1.6-py3-none-any.whl (134 kB)",
    "LOG: 15:36:09 | Collecting Jinja2>=3.1.2 (from Flask==2.3.3->-r web_and_database/requirements.txt (line 1))",
    "LOG: 15:36:09 |   Using cached pytz-2024.1-py2.py3-none-any.whl (505 kB)",
    "LOG: 15:36:09 | Collecting pytz==2024.1 (from -r web_and_database/requirements.txt (line 14))",
    "LOG: 15:36:09 |   Using cached flask_mail-0.9.1-py3-none-any.whl",
    "LOG: 15:36:09 | Collecting Flask-Mail==0.9.1 (from -r web_and_database/requirements.txt (line 13))",
