SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-10-08T08:56:48.263343
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 25
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

System Health Summary:
* System healthy. No web/background errors.
* Web service using starter plan with 1 instance.

Performance Analysis:
* Low Arduino request volume (25 total).
* Background processing success rate and cycle times unknown.

Notable Patterns:
* Device 4433 highly active.
* "Quiet hours" disabling alerts in Hadera.

Issues & Recommendations:
* Background processing success rate is 0 - CRITICAL. Investigate immediately.
* Low API request volume, verify devices online and reporting.
* Single web service instance presents availability risk.

Optimization Opportunities:
* Insufficient data on processing performance. Add metrics.
* Web service plan limits scalability, consider upgrade.

Trends & Predictions:
* "Quiet hours" may be suppressing actionable alerts. Review configuration.
* Limited data hinders proactive issue detection.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-10-08T08:56:48.263343",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 03:25:11 | 172.71.147.232 - - [08/Oct/2025:03:25:11 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 261 \"-\" \"ESP32HTTPClient\"",
    "LOG: 03:25:11 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=27cm",
    "LOG: 03:25:10 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 03:12:09 | 172.71.151.215 - - [08/Oct/2025:03:12:09 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 261 \"-\" \"ESP32HTTPClient\"",
    "LOG: 03:12:09 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=27cm",
    "LOG: 03:12:09 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 02:59:07 | 172.71.146.179 - - [08/Oct/2025:02:59:07 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 260 \"-\" \"ESP32HTTPClient\"",
    "LOG: 02:59:07 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=27cm",
    "LOG: 02:59:07 | INFO:app:\ud83c\udf19 Quiet hours active for Hadera, Israel - threshold alerts disabled",
    "LOG: 02:59:07 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 02:46:05 | 172.71.151.74 - - [08/Oct/2025:02:46:05 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 260 \"-\" \"ESP32HTTPClient\"",
    "LOG: 02:46:05 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=32cm",
    "LOG: 02:46:05 | INFO:app:\ud83c\udf19 Quiet hours active for Hadera, Israel - threshold alerts disabled",
